,company,number_reviews,search_city,star_rating,summary,title,how_paid,annual_salary,is_sponsored,time_since_posted,in_city,page,expensive_city,rating_cat
3600,Barone Consulting,0.0,"Washington, DC",,"Impact the nation's investment in technology development, through the advancement of machine learning algorithms, artificial neural networks, and machine...",Machine Learning - R&D,,,0,more than 30 days ago,0,51,1,no_rating
3601,Sawdey Solution Services,2.0,"Washington, DC",3.5,"Sawdey Solution Services, Inc. , an ISO 9001 certified company, provides innovative strategic and technical planning, information technology, acquisition,...","Operations Research Analyst- Washington, DC",,,0,more than 30 days ago,1,51,1,low_rating
3602,Bennett Aerospace Inc.,0.0,"Washington, DC",,"A qualified Mathematician / Statistician will work with minimal direction and will develop or apply mathematical or statistical theory, computational techniques...",Mathematician / Statistician,,,0,more than 30 days ago,0,51,1,no_rating
3604,Northrop Grumman,2182.0,"Washington, DC",4.25,"We collaborate through integrated product teams, cross-functional teams, and employee resource groups, while thriving through the support of training and...",Sr. Life Sciences Operations Research Analyst,,,0,more than 30 days ago,0,51,1,high_rating
3605,All-In Analytics,0.0,"Washington, DC",,"Market Risk Data Scientist. Base Salary - $100,000 to $114,000 + Bonus. SAS, SQL, Credit Risk Loan Portfolio Management, Investments, Capital Markets, Mortgage...",Sr. Market Risk Data Scientist,yearly,107500.0,0,more than 30 days ago,1,51,1,no_rating
3608,Rocky Mountain Institute,0.0,"Washington, DC",,Interns will be fully integrated into the project team and will have both a discrete project they own for the duration of their internship and varying daily...,Summer Internships 2017,,,0,1-6 days ago,1,51,1,no_rating
3614,i_SW Corp,0.0,"Washington, DC",,"Area of interest include mathematics, physics, statistics, or a related field. This Scientific, Engineering and Technical Assistance (SETA) position is in...",Mathematician / Statistician,,,0,more than 30 days ago,0,52,1,no_rating
3615,Centers for Disease Control and Prevention,66.0,"Washington, DC",4.5,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",Health Scientist,yearly,117437.5,0,more than 30 days ago,1,52,1,high_rating
3617,Booz Allen Hamilton,977.0,"Washington, DC",3.7,"Apply machine learning techniques for the detection of damage from image and non-image data, hypothesis management of accumulated detections, and cost...",Geospatial Research Scientist,,,0,more than 30 days ago,0,52,1,low_rating
3618,Selby Jennings,0.0,"Washington, DC",,Associate Data Scientist. Work with experienced data scientists and learn an industry that is always growing in a laid back environment....,Associate Data Science,yearly,137500.0,0,more than 30 days ago,1,52,1,no_rating
3620,"Altimmune, Inc.",0.0,"Washington, DC",,Is a clinical stage biotechnology company developing next-generation immunotherapeutics and vaccines to address significant public health and biodefense needs....,Process Development Scientist,,,0,13-18 days ago,0,52,1,no_rating
3621,QIAGEN,30.0,"Washington, DC",3.6,Minimum of 2 years college level education in a scientific discipline with 1-2 years of lab experience preferably in one or more of the following areas:....,QC Associate Scientist,,,0,7-12 days ago,0,52,1,low_rating
3622,CNA Corporation,0.0,"Washington, DC",,3 Support business development efforts and/or marketing activities by interacting with CNA managers and current clients/sponsors on securing follow on work (e.g...,Sr Organizational Development Analyst/Research Scientist,,,0,more than 30 days ago,0,52,1,no_rating
3623,QIAGEN,30.0,"Washington, DC",3.6,"Bachelors degree in a scientific discipline or equivalent with 3-5 years of related work experience; The Scientist I, Production Molecular Biology must...",Scientist I,,,0,more than 30 days ago,0,52,1,low_rating
3629,Engility Corporation,256.0,"Washington, DC",3.6,Represent customer at scientific conferences and serve as the resident expert on all scientific issues. Serve as the lead scientific research analyst and...,Research Scientist,,,0,more than 30 days ago,0,53,1,low_rating
3630,StreetShares,0.0,"Washington, DC",,"Strong knowledge of R, SAS, Python or other machine learning tools. Use logistic regression or machine learning algorithms in creating new risk models....",Sr. Decision Scientist / Sr. Statistician,,,0,more than 30 days ago,0,53,1,no_rating
3631,The Henry M. Jackson Foundation for the Advancemen...,0.0,"Washington, DC",,"Experience in data management, statistical analysis of longitudinal or repeated measurement data; Provide relevant statistical and project status reports....",SAS Data Analyst/Statistician,,,0,more than 30 days ago,0,53,1,no_rating
3632,"BioFortis, Inc.",0.0,"Washington, DC",,Our data management and exploration products help research scientists discover cures for diseases through translational research and personalized medicine....,Software Developer,,,0,more than 30 days ago,0,53,1,no_rating
3633,All-In Analytics,0.0,"Washington, DC",,"Lead Market Risk Data Scientist. Base Salary - $100,000 to $125,000 + Bonus. SAS, SQL, Credit Risk, Financial Modeling, Finance, Risk K.P.I.s, Loan Portfolio...",Lead Market Risk Data Scientist,yearly,112500.0,0,more than 30 days ago,1,53,1,no_rating
3634,"MacAulay-Brown, Inc.",49.0,"Washington, DC",4.40000025,"Analyzing available data relevant to the work in progress; And participating in the coordination, evaluation, data sourcing, classification, and dissemination...",Mid-Level Research Analyst,,,0,in the last day,0,53,1,high_rating
3636,Project Enhancement Corp,0.0,"Washington, DC",,"Located in Germantown, MD Project Enhancement Corporation (PEC) is a technical services business focused on providing Project Management and specialized...",Research Data Analyst with Security Clearance,yearly,75000.0,0,1-6 days ago,1,53,1,no_rating
3637,Leidos,203.0,"Washington, DC",3.65,Shall be able to employ data mining techniques and tools and data basing skills • Experience using COTS/GOTS analytic tools....,Senior Target Research and Methodology Analyst,,,0,more than 30 days ago,0,53,1,low_rating
3638,Aptima,0.0,"Washington, DC",,"In Mathematics, Computer Science, or related technical field Minimum of five years of experience performing data analysis on large data sets in a team...",Data Scientist (Senior) (VA),,,0,more than 30 days ago,0,53,1,no_rating
3644,Capital One,3026.0,"Washington, DC",3.7,This position in Capital One’s Trade Analytics and Valuation team offers a unique opportunity to be part of a dynamic team focusing on the company’s investment...,Sr. Quantitative Analyst - Trade Analytics and Valuation,,,0,more than 30 days ago,0,54,1,low_rating
3645,REGENXBIO Inc.,0.0,"Washington, DC",,"Defining biomarker, PK, immunogenicity, and neutralization needs for early stage clinical development by leading scientific discussions with clinical...","Sr. Director, Bioanalytical Research and Translational Medic...",,,0,7-12 days ago,0,54,1,no_rating
3647,General Dynamics Information Technology,3630.0,"Washington, DC",3.65,"We are looking for a candidate to partner with current staff in all aspects of project cycle, including working closely with data scientists....","Sr Business Analyst, Program with Polygraph",,,0,13-18 days ago,0,54,1,low_rating
3648,Knowesis Inc.,0.0,"Washington, DC",,"Minimum of a Bachelor’s degree from an accredited college or university in a business, scientific, or technical field....","Program Analyst (Military Medical Research, Development, and...",,,0,19-24 days ago,0,54,1,no_rating
3649,TransVoyant,2.0,"Washington, DC",3.5,​Understanding of Hadoop stack and data analytics tools to exploit massive sets of TransVoyant data (e.g. The ideal candidate will structure data and create the...,Cleared Data Scientist,,,0,more than 30 days ago,0,54,1,low_rating
3651,Uber,88.0,"Washington, DC",3.7,"Composed of researchers, data scientists, and engineers the team makes an impact across Uber. As a part of the team in this role, you will be responsible for...",Regional Marketing Research Lead,,,0,more than 30 days ago,1,54,1,low_rating
3652,"Sirnaomics,Inc",0.0,"Washington, DC",,Possession of a Bachelor& equal Degree or higher in Biochemistry or related discipline from an accredited college or university according to the Council for...,Biochemistry Lab Assistant,yearly,32000.0,0,more than 30 days ago,0,54,1,no_rating
3653,Integrity Applications Incorporated,4.0,"Washington, DC",4.40000025,"Knowledge flow analysis, metrics, human-machine interface, human computation systems, peer-reviewed test plans, rigorous assessment, gold standards, technical...",GEOINT Automation Program Scientist,,,0,7-12 days ago,0,54,1,high_rating
3659,Booz Allen Hamilton,977.0,"Washington, DC",3.7,Perform scientific and technical intelligence analysis. Applicants selected will be subject to a security investigation and may need to meet eligibility...,Defense Research Analyst,,,0,more than 30 days ago,1,55,1,low_rating
3660,Department of Health,760.0,"Washington, DC",3.65,"The DMAD creates and maintains statistical databases based on the birth and death records and other health information reported by area hospitals, clinics, and...",Supervisory Statistician,yearly,132745.0,0,1-6 days ago,1,55,1,low_rating
3661,Intelligent Automation,3.0,"Washington, DC",3.4,"Candidates will support (and/or lead) research and development in big data analytics, machine learning and graph analytics....",Data Scientist Engineer - Networks & Security Group,,,0,7-12 days ago,0,55,1,low_rating
3662,Altamira Technologies Corporation,4.0,"Washington, DC",3.5,Altamira is searching for a Data Scientist to help an established cross-functional technical team conduct quantitative analysis and modeling of medium to large...,Data Scientist - Senior,,,0,more than 30 days ago,0,55,1,low_rating
3663,Deloitte,3650.0,"Washington, DC",4.25,"Work You’ll Do Working closely with developers, data scientists, and clients to understand their challenges, you will produce design solutions that help them...",Insight Studio Analytics Designer,,,0,more than 30 days ago,0,55,1,high_rating
3664,IBM,12684.0,"Washington, DC",4.25,"Recruit health care analytic, technology, and consulting leaders and delivery professionals for prospective engagement at Truven Health Qualifications....",Watson Health - Senior Director / Predictive Modeling Lead -...,,,0,1-6 days ago,0,55,1,high_rating
3665,Capital One,3026.0,"Washington, DC",3.7,You will work closely with our lines of business to develop web applications and user interfaces to label data for machine learning and natural language...,"Senior Software Engineer, Web Interfaces for Machine Learnin...",,,0,7-12 days ago,0,55,1,low_rating
3666,"Dolphin Solutions, Inc",0.0,"Washington, DC",,"Manage reporting environment including report data sources, security, subscriptions and metadata. This job requires interaction with scientists, program...",BI Analyst,,,0,more than 30 days ago,0,55,1,no_rating
3667,"Aledade, Inc.",0.0,"Washington, DC",,"Experience with health care data sources such as claims, electronic health record, event notification, clinical, and patient reported data....",Research Analyst,,,0,more than 30 days ago,0,55,1,no_rating
3668,Systems Planning and Analysis,3.0,"Washington, DC",4.40000025,"The Joint/AF Analysis Division (JTAAD) supports OSD AT&L, Joint and other DoD organizations on matters associated with policy, operations, JCIDS development,",Operations Research Analyst (JTAAD/JTAF),,,0,more than 30 days ago,0,55,1,high_rating
3674,ASRC Federal,24.0,"Washington, DC",3.6,"Under the guidance of an ASTS Planetary Science Support Scientist, the intern will assist NASA’s Planetary Science Division in mining and cleaning data from the...",Planetary Science Intern,,,0,19-24 days ago,1,56,1,low_rating
3675,Michael Baker International,16.0,"Washington, DC",3.4,"Prepare daily written and oral intelligence summary reports for applicable personal protection, guard force, and emergency response team services....",Senior Research Analyst,,,0,more than 30 days ago,0,56,1,low_rating
3676,Social & Scientific Systems Inc.,0.0,"Washington, DC",,Conduct quality assurance reviews on project deliverables and provide technical oversight of project activities Mentor staff by providing guidance on issues...,Principal Research Scientist - Medicare Payments,,,0,more than 30 days ago,0,56,1,no_rating
3677,CNA Corp.,0.0,"Washington, DC",,3 Support business development efforts and/or marketing activities by interacting with CNA managers and current clients/sponsors on securing follow on work (e.g...,Research Scientist - China Studies,,,0,more than 30 days ago,0,56,1,no_rating
3678,xentity corporation,0.0,"Washington, DC",,"Bachelor's Degree with a Masters in Business Administration, Information Technology, or specific relevant subject area....",CPIC Business Case Support Analyst,,,0,25-30 days ago,0,56,1,no_rating
3679,inVentiv Health Clinical,54.0,"Washington, DC",3.65,"Serve as the project statistician to coordinate all statistical project activities. Missing data, multiplicity....",Statistician - REMOTE - 100758,,,0,7-12 days ago,0,56,1,low_rating
3680,The Advisory Board Company,72.0,"Washington, DC",3.55,Experience with solution focused problem solving and thinking through problems creatively. Conducting long-term research (at least 3 months in duration)....,"Analyst, EAB Strategic Research (Full-time position, startin...",,,0,1-6 days ago,1,56,1,low_rating
3681,Capital One,3026.0,"Washington, DC",3.7,"Design and implement a solution that enables the analysts and Data scientist to identify, access and understand the data they need....","Director, Data Governance, Ontology and Taxonomy",,,0,7-12 days ago,0,56,1,low_rating
3682,National Opinion Research Center (NORC),0.0,"Washington, DC",,"NORC’s Health Sciences staff produce rich data on social priorities including child development and healthy aging, the uses of electronic clinical data in...",Research Analyst - Health Sciences,,,0,more than 30 days ago,0,56,1,no_rating
3683,DDL OMNI Engineering,7.0,"Washington, DC",3.6,"Define data requirements and gather and validate information, applying judgment and statistical tests. Five (5) years of progressive experience involving...",Senior Operations Research Analyst,,,0,more than 30 days ago,1,56,1,low_rating
3685,Amazon Corporate LLC,10517.0,"Washington, DC",3.6,"Together with a highly multi-disciplinary team of scientist, engineers, strategic partners, product managers and subject domain experts you will work on...",Data Scientist- Relocation Opportunity,,,0,,0,56,1,low_rating
3690,Leidos,203.0,"Washington, DC",3.65,"The candidate shall conduct experiments, investigations, observations and related research studies into the nature and operation of natural phenomena in a...",Natural Phenomena Scientist,,,0,more than 30 days ago,0,57,1,low_rating
3691,The Brookings Institution,3.0,"Washington, DC",4.25,"Maintains relevant project databases. Knowledge in the field of human development (preferably early childhood development, though education, health or social...",Research Analyst,,,0,19-24 days ago,1,57,1,high_rating
3693,Systems Planning and Analysis,3.0,"Washington, DC",4.40000025,"Translate, with the help of subject matter experts, complex military concepts into analytical descriptions and concepts that can be developed in modeling tools....",Summer Internship Operations Research Analyst (JTAG),,,0,more than 30 days ago,0,57,1,high_rating
3694,BAE Systems,1744.0,"Washington, DC",3.7,"Leveraging its knowledge of signals and data derived from signals, Information Solutions has attained a market-leading position in advanced information...",Financial Research Analyst,,,0,13-18 days ago,1,57,1,low_rating
3696,Booz Allen Hamilton,977.0,"Washington, DC",3.7,Ability to perform statistical analyses using government and publicly available data. Analyze actual and predictable interacting operational activities of...,"Research Analyst, Mid",,,0,1-6 days ago,0,57,1,low_rating
3698,"GreenZone Solutions, Inc.",0.0,"Washington, DC",,"Tool development to support a team of Data Architects, Data Analysts and Data Scientists. Work with data scientists, database architects, data analysts,...",Full Stack Developer,,,0,13-18 days ago,1,57,1,no_rating
3704,Institutional Shareholder Services,2.0,"Washington, DC",3.5,We are seeking a resident subject matter expert for U.S. Research staff in the area of U.S. _Interested in being an influential team member in the world of...,Executive Compensation Research Analyst,,,0,19-24 days ago,0,58,1,low_rating
3705,EMD,31.0,"Washington, DC",4.3,"Follow SOPs and relevant compliance regulations in regards to safety procedures, documentation, and scientific responsibility....",Animal Research Technician (Associate Scientist I),,,0,19-24 days ago,0,58,1,high_rating
3706,Catalist,0.0,"Washington, DC",,"Catalist is home to a dedicated, creative team of technologists, data scientists and campaign experts who build best-in class data tools and science....","Senior Software Engineer, Scientific Algorithms",,,0,more than 30 days ago,1,58,1,no_rating
3707,Army Research Laboratory,10.0,"Washington, DC",3.6,"A solid foundation in machine vision, specifically looking at embedded computation on mobile platforms....","State Estimation, Controls, and Visual Processing Engineer",,,0,13-18 days ago,0,58,1,low_rating
3708,"Truven Health Analytics, an IBM Company",0.0,"Washington, DC",,"Truven Health Analytics, an IBM Company is dedicated to working collaboratively with government agencies and foundations to create and implement strategies to...",Research Analyst II - Child and Maternal Health,,,0,more than 30 days ago,1,58,1,no_rating
3709,Leidos,203.0,"Washington, DC",3.65,"Work efficiently with a cross functional team of analysts, data scientists, project managers, and software solutions integrators....",User Interface/User Experience Designer,,,0,1-6 days ago,0,58,1,low_rating
3710,"ALEX - Alternative Experts, LLC",0.0,"Washington, DC",,"Applying business analytics and customer segmentation techniques into corporate functions (marketing analytics, consumer analytics, operations analysis, human...",Data Scientist II,,,0,more than 30 days ago,0,58,1,no_rating
3712,Tetra Tech,126.0,"Washington, DC",3.5,"Other necessary skills include reviewing laboratory data, report preparation, and the ability to perform efficiently in delivering high quality products....",Staff Scientist/Engineer,,,0,25-30 days ago,0,58,1,low_rating
3719,Parsons Corporation,278.0,"Washington, DC",3.65,**Applicants selected for employment will be subject to a. Development experience with multi-threaded applications in a Linux environment;...,Modeling and Simulation Developer,,,0,7-12 days ago,0,59,1,low_rating
3720,Select Source Solutions,0.0,"Washington, DC",,Our client is hiring experienced engineers excited by the prospect of using streaming analytics and machine learning to enable our customers to change their...,Software Engineer – Big Data/IoT,,,0,more than 30 days ago,0,59,1,no_rating
3721,"Medical Science & Computing, Inc.",0.0,"Washington, DC",,Enter into scientific collaborations with physicians and scientists that include the potential for authorships and acknowledgements in publications....,Computational Genomics Specialist,,,0,in the last day,0,59,1,no_rating
3724,General Dynamics Information Technology,3630.0,"Washington, DC",3.65,"Ensures the integrity of project data, including data extraction, storage, manipulation, processing and analysis....",Policy Analyst (Policy & Civil Liberties) - TS/SCI required,,,0,13-18 days ago,0,59,1,low_rating
3725,General Dynamics Information Technology,3630.0,"Washington, DC",3.65,"Utilizes established mathematical and scientific techniques to compile and analyze data. Walter Reed Army Institute of Research (WRAIR), in support of its...",Brain Trauma Research Scientist (Neuroscientist) (WRAIR),,,0,more than 30 days ago,0,59,1,low_rating
3726,"Eastern Research Group, Inc.",0.0,"Washington, DC",,Providing public health and occupational safety and health support in areas ranging from safety and health management systems to indoor air quality to the...,Environmental/Occupational Health Professional,,,0,7-12 days ago,0,59,1,no_rating
3727,Novavax,13.0,"Washington, DC",3.5,"Advising or providing direction to associate level scientists or members of project teams in the planning and execution of laboratory experimentation, as well...","Scientist II, Downstream Protein Purification",,,0,1-6 days ago,0,59,1,low_rating
3728,Aeras,4.0,"Washington, DC",3.5,"The Scientist will have primary responsibilities (~60%) in the area of nonhuman primate immunology, including oversight of experimental design and execution,...","Scientist, Pre-Clinical Models and Biomarker Discovery",,,0,7-12 days ago,0,59,1,low_rating
3734,"OnPoint Consulting, Inc.",0.0,"Washington, DC",,"Data visualization techniques; Data discovery techniques; This is a senior-level role, and the Senior Business Intelligence Developer/Data Scientist is expected...",Sr Business Intelligence Developer,,,0,more than 30 days ago,0,60,1,no_rating
3735,AECOM,1865.0,"Washington, DC",3.6,"With just over 90,000 employees — including architects, engineers, designers, planners, scientists and management and construction services professionals —...",Sr. Pricing Analyst,,,0,13-18 days ago,0,60,1,low_rating
3737,Social & Scientific Systems Inc.,0.0,"Washington, DC",,"The SSS team offers a synergy of expertise in clinical research services, epidemiology and public health studies, health data management and analysis, and...",Principal Research Scientist - Evaluation,,,0,more than 30 days ago,0,60,1,no_rating
3738,General Dynamics Information Technology,3630.0,"Washington, DC",3.65,"Initiates and executes scientific research and/or development studies; As a trusted systems integrator for more than 50 years, General Dynamics Information...",Associate Scientist,,,0,more than 30 days ago,0,60,1,low_rating
3739,Accountability Counsel,0.0,"Washington, DC",,"The Research Associate will manage data collection, research, and analysis drawing on their own original work, as well as through management and oversight of...",Research Associate,,,0,13-18 days ago,1,60,1,no_rating
3741,Advanced Bioscience Laboratories,3.0,"Washington, DC",4.40000025,Candidate must meet all the requirements of our Company Occupational Health program as directed by the Occupational Health Consultant to include pre-employment...,Sr. Scientist: Downstream Process Development,,,0,in the last day,0,60,1,high_rating
3743,CACI,828.0,"Washington, DC",3.7,"You will perform system and software installs, as well as, provide support and maintenance for systems utilized by a team of software developers and data...",DevOps Engineer,,,0,19-24 days ago,0,60,1,low_rating
3749,Invincea,0.0,"Washington, DC",,"Our work in information visualization explains machine learning algorithms to cybersecurity domain experts, presents data in easily understood formats, and...",Research Engineer/Scientist – Information Visualization and...,,,0,more than 30 days ago,0,61,1,no_rating
3750,Merkle Inc.,2.0,"Washington, DC",3.5,Ability to discover hidden insights or complex patterns through advanced multi-variate data mining techniques on un-structured business problems....,Senior Analyst,,,0,more than 30 days ago,0,61,1,low_rating
3751,Universities Space Research Association,6.0,"Washington, DC",4.59999975,"Experience with software development kit (SDK), programming with C, Java, JavaScript, R (or R Shiny) & Python....",Software Engineer I,,,0,25-30 days ago,0,61,1,high_rating
3752,Centra Technology,2.0,"Washington, DC",3.5,"CENTRA offers a full range of benefits, including competitive salary, comprehensive health plan including dental coverage, company-paid life & disability...",Senior Operations Research Analyst,,,0,13-18 days ago,0,61,1,low_rating
3753,EMD,31.0,"Washington, DC",4.3,The Scientist will be the primary scientific resource for a particular scientific lab(s) within Biologics....,Scientist,,,0,more than 30 days ago,0,61,1,high_rating
3754,The Camstoll Group,0.0,"Washington, DC",,"Utilizing open-source research methods, we generate insights into today’s most complex policy, regulatory, and competitive challenges....","Research Analyst Intern, Washington DC",,,0,more than 30 days ago,1,61,1,no_rating
3755,Centra Technology,2.0,"Washington, DC",3.5,"CENTRA offers a full range of benefits, including competitive salary, comprehensive health plan including dental coverage, company-paid life & disability...","Subject Matter Expert, Operations Research Analyst",,,0,13-18 days ago,0,61,1,low_rating
3757,Prince George's Community College,60.0,"Washington, DC",4.40000025,"Work schedule is subject to change based on department needs. Under general supervision, responsible for supporting the Office of Planning, Assessment, and...","Research Analyst, Institutional Research and Reporting",yearly,63863.0,0,more than 30 days ago,0,61,1,high_rating
3758,KGS,560.0,"Washington, DC",3.6,Ability to manage individual workflow effectively and improve processes when necessary. Proficient in MS project....,Research Analyst,,,0,more than 30 days ago,0,61,1,low_rating
3759,Amazon Corporate LLC,10517.0,"Washington, DC",3.6,"Working with scientists and other engineers to investigate design approaches, prototype new technology, and evaluate technical feasibility....","AI Research/Software Development Engineer, Alexa Artificial...",,,1,more than 30 days ago,0,61,1,low_rating
3760,Amazon Corporate LLC,10517.0,"Washington, DC",3.6,"Together with a highly multi-disciplinary team of scientist, engineers, strategic partners, product managers and subject domain experts you will work on...",Data Scientist- Relocation Opportunity,,,1,7-12 days ago,0,61,1,low_rating
3765,Clinical Research Management,9.0,"Washington, DC",3.45,ClinicalRM is a full service Contract Research Organization (CRO) specializing in preclinical through Phase IV support of clinical research and clinical trial...,Behavioral Pharm Research Scientist,,,0,more than 30 days ago,0,62,1,low_rating
3766,Coverent,0.0,"Washington, DC",,"Experience and/or familiarity with social media, analytic, statistical software and data visualization tools such as Python and/or R including relevant packages...",Data Engineer,,,0,more than 30 days ago,0,62,1,no_rating
3767,Ocean Conservancy,0.0,"Washington, DC",,"If you think you have what it takes to join Ocean Conservancy’s team, please send a cover letter speaking to your qualifications and abilities, along with your...","Coordinator, Trash Free Seas Program",,,0,7-12 days ago,1,62,1,no_rating
3768,EXL,334.0,"Washington, DC",3.7,"EXL Analytics provides data-driven, action-oriented solutions to business problems through statistical data mining, cutting edge analytics techniques and a...",Senior Consultant,,,0,13-18 days ago,0,62,1,low_rating
3769,ManTech International Corporation,722.0,"Washington, DC",3.7,"The selected individual will lead all analysis efforts and work with other project staff (management, engineering, analysts, modelers, scientists, and subject...","Operations Research Analyst, Sr Principal",,,0,more than 30 days ago,1,62,1,low_rating
3770,SeraCare,3.0,"Washington, DC",3.25,Scientific expertise- Must have a constant desire to learn about the latest scientific advancements in diagnostics for our areas of focus and apply the...,"Scientist II, New Product Development",,,0,13-18 days ago,0,62,1,low_rating
3772,Penn Schoen Berland,2.0,"Washington, DC",4.25,"Specific experience in the more complex or specialized survey methodologies including small area estimation, non-probability samples, and big data analytics,...",Survey Scientist,,,0,more than 30 days ago,1,62,1,high_rating
3779,Dynamac Corporation,7.0,"Washington, DC",4.40000025,"The Data Manager will also assist a Scientific Data Policy Coordinator , analytical scientists , database developers , and IT managers at NCCOS....",Environmental Science Data Manager,,,0,more than 30 days ago,0,63,1,high_rating
3780,TransVoyant,2.0,"Washington, DC",3.5,Understanding of Hadoop stack and data analytics tools to exploit massive sets of TransVoyant data (e.g. The ideal candidate will structure data and create the...,Data Scientist,,,0,more than 30 days ago,0,63,1,low_rating
3781,Leidos,203.0,"Washington, DC",3.65,"As a Spectral Research Scientist you will conduct R&D using applied mathematics for automated object labelling , machine learning, computer vision, and 3D model...",Spectral Research Scientist,,,0,more than 30 days ago,0,63,1,low_rating
3782,Riverside Research,7.0,"Washington, DC",4.45,"MS degree and some post Master's course work in Physics, Image Sciences, Geography, other strongly related degree’s to the remote sensing area....",OPIR Scientist,,,0,more than 30 days ago,0,63,1,high_rating
3783,Ashton Lane Group,0.0,"Washington, DC",,"Develop project plans, setting and managing expectations, and delivering results through self and/or others. Assist in the methodologies and processes used by...",AVP Quantitative Analyst Model Validation,,,0,more than 30 days ago,1,63,1,no_rating
3784,Evidera,5.0,"Washington, DC",3.55,Broad experience in SLR methods in health economics and/or health services research. This role will also involve scientific responsibility for project...,"Research Scientist - Meta Research - Bethesda, MD",,,0,more than 30 days ago,0,63,1,low_rating
3785,Federal Reserve Board of Governors,319.0,"Washington, DC",4.34999975,"Some knowledge of and affinity with finance/economics or data management is a plus, as well as experience working with high-frequency financial data or big data...",Technology Analyst (Financial Modeling – Policy & Research)-...,,,0,7-12 days ago,1,63,1,high_rating
3787,CNA Corp.,0.0,"Washington, DC",,"CNA is seeking candidates with a background in applied Operations Research, applied Mathematics, Statistics, and expertise in one of the following areas:....",Research Analyst - Operations Research,,,0,more than 30 days ago,0,63,1,no_rating
3794,Korn Ferry/Futurestep,0.0,"Washington, DC",,The incumbent is accountable for the development and dissemination of knowledge of health care and health care product development around the world....,"Associate Director, DIA Learning",,,0,more than 30 days ago,1,64,1,no_rating
3796,"Quantum Research International, Inc.",6.0,"Washington, DC",4.40000025,Applicants selected may be subject to a government security investigation and must meet eligibility requirements for access to classified information....,Sr. Analyst/ Operations Research Officers (OROs),,,0,more than 30 days ago,0,64,1,high_rating
3797,ManTech International Corporation,722.0,"Washington, DC",3.7,Ability to develop and communicate effective and efficient T&E reliability design for inclusion with Test and Evaluation Master Plans (TEMPs) and Operational...,T&E Statistician/Specialist,,,0,more than 30 days ago,1,64,1,low_rating
3798,Consolidated Safety Services,4.0,"Washington, DC",3.5,"The Data Manager will also assist a Scientific Data Policy Coordinator , analytical scientists , database developers , and IT managers at NCCOS....",Environmental Science Data Manager,,,0,more than 30 days ago,0,64,1,low_rating
3800,Clinical Research Management,9.0,"Washington, DC",3.45,ClinicalRM is a full service Contract Research Organization (CRO) specializing in preclinical through Phase IV support of clinical research and clinical trial...,Experimental Human Stress Scientist,,,0,more than 30 days ago,0,64,1,low_rating
3802,"Truven Health Analytics, Inc. & Simpler Consulting",0.0,"Washington, DC",,"Research and extract data from various sources to support the development of research proposals, project analysis plans, and project specifications....",Research Analyst II,,,0,more than 30 days ago,0,64,1,no_rating
3803,AstraZeneca,593.0,"Washington, DC",4.3,"In addition, you will Author technical report and regulatory filings for clinical trials and marketing applications, work with CMC team to support manufacturing...","Scientist II, Analytical Science -- (Gaithersburg, MD)",,,0,more than 30 days ago,0,64,1,high_rating
3809,SAIC,1298.0,"Washington, DC",4.3,SAIC is seeking a Psychology Research Analyst with demonstrated subject matter expertise in social and behavioral sciences....,Psychology Research Analyst Job,,,0,more than 30 days ago,0,65,1,high_rating
3811,Socrata,0.0,"Washington, DC",,"Too often, this data is inaccessible and only useful if you’re a database administrator, a programmer or a data scientist....",Customer Success Manager,,,0,1-6 days ago,1,65,1,no_rating
3812,General Dynamics Information Technology,3630.0,"Washington, DC",3.65,"As a trusted systems integrator for more than 50 years, General Dynamics Information Technology provides information technology (IT), systems engineering,...","Analyst, Research Monitoring and Evaluation",,,0,more than 30 days ago,0,65,1,low_rating
3814,Energetics Incorporated,0.0,"Washington, DC",,Engineers and scientists will assist clients with a variety of activities required to conduct effective research and technology development programs....,Mid-Level Engineer/Scientist,,,0,more than 30 days ago,1,65,1,no_rating
3815,GlaxoSmithKline,1752.0,"Washington, DC",4.34999975,"Altius’ computational scientists and engineers are developing new frameworks for visualizing, manipulating, and deriving deep insights from these new data to...","Computational Scientist/Engineer,TSci",,,0,more than 30 days ago,1,65,1,high_rating
3816,Sayres and Associates,6.0,"Washington, DC",4.34999975,The candidate will be expected to identify additional sources of information that are relevant to the issue and present a comprehensive summary of the...,Research Analyst (NID),,,0,more than 30 days ago,0,65,1,high_rating
3817,Mathematica Policy Research,35.0,"Washington, DC",3.65,Assisting with quantitative analyses using large databases to determine program outcomes or to conduct policy simulations Providing technical assistance to...,Health Research Analyst,,,0,more than 30 days ago,1,65,1,low_rating
3824,Northrop Grumman,2182.0,"Washington, DC",4.25,"Certified Associate in Project Management (CAPM), Project Management Professional (PMP), or Program Management Professional (PgMP)....",Business Process Analysis Manager 1 (Big Data),,,0,more than 30 days ago,0,66,1,high_rating
3825,Leidos,203.0,"Washington, DC",3.65,"Scientist candidates must have experience in applied image processing and scientific analysis of LIDAR imagery, knowledge of image formation, and spectral...",LIDAR Imagery Scientist,,,0,more than 30 days ago,0,66,1,low_rating
3827,CIO Resources,0.0,"Washington, DC",,"Collaborate with senior data scientists, data engineers and business subject matter experts to solve complex ""yet unsolved"" business problems using machine...",Data Scientist,,,0,25-30 days ago,0,66,1,no_rating
