,artist,track,length,genre,date_entered,date_peaked,weeks_on_chart,best_ranking,weeks_to_peak,Week,Ranking
5174,Avant,My First Love,4.46666666667,Rock,2000-11-04,2000-12-16,20,26.0,6.0,17th_week,64.0
5175,Son By Four,A Puro Dolor (Purest Of Pain),3.5,Latin,2000-04-08,2000-08-19,26,26.0,19.0,17th_week,30.0
5176,Da Brat,What'Chu Like,3.95,Rap,2000-06-03,2000-08-12,20,26.0,10.0,17th_week,62.0
5177,DMX,Party Up (Up In Here),3.75,Rap,2000-02-26,2000-04-22,21,27.0,8.0,17th_week,35.0
5178,"Dixie Chicks, The",Cowboy Take Me Away,4.85,Country,1999-11-27,2000-01-29,20,27.0,9.0,17th_week,51.0
5179,"McGraw, Tim",My Next Thirty Years,3.61666666667,Country,2000-10-21,2000-12-16,20,27.0,8.0,17th_week,48.0
5180,"Tritt, Travis",Best Of Intentions,4.25,Country,2000-08-19,2000-12-02,22,27.0,15.0,17th_week,29.0
5181,Alice Deejay,Better Off Alone,6.83333333333,Electronica,2000-04-08,2000-06-03,20,27.0,8.0,17th_week,65.0
5182,Hoku,Another Dumb Blonde,3.78333333333,Pop,2000-02-19,2000-04-08,14,27.0,7.0,17th_week,
5183,"Houston, Whitney",I Learned From The Best,4.3,Rock,2000-02-19,2000-03-25,11,27.0,5.0,17th_week,
5184,Counting Crows,Hanginaround,4.11666666667,Rock,1999-11-06,2000-01-29,20,28.0,12.0,17th_week,56.0
5185,Mary Mary,Shackles (Praise You),3.2,Rock,2000-03-25,2000-05-13,20,28.0,7.0,17th_week,71.0
5186,"Carey, Mariah",Crybaby,5.31666666667,Rock,2000-06-24,2000-06-24,7,28.0,0.0,17th_week,
5187,"McGraw, Tim",My Best Friend,4.55,Country,1999-11-27,2000-01-29,21,29.0,9.0,17th_week,39.0
5188,Sugar Ray,Falls Apart,4.25,Rock,2000-01-15,2000-02-19,20,29.0,5.0,17th_week,89.0
5189,Madonna,American Pie,4.5,Rock,2000-02-19,2000-03-04,9,29.0,2.0,17th_week,
5190,"Jones, Donell",Where I Wanna Be,6.36666666667,Rock,2000-04-22,2000-07-08,20,29.0,11.0,17th_week,42.0
5191,"Paisley, Brad",We Danced,3.75,Country,2000-10-14,2000-12-16,20,29.0,9.0,17th_week,72.0
5192,Lonestar,What About Now,3.5,Country,2000-06-10,2000-08-19,20,30.0,10.0,17th_week,54.0
5193,"Backstreet Boys, The",The One,3.76666666667,Rock,2000-05-27,2000-07-01,15,30.0,5.0,17th_week,
5194,"Keith, Toby",How Do You Like Me Now?!,3.48333333333,Country,2000-01-29,2000-04-08,20,31.0,10.0,17th_week,45.0
5195,"Strait, George",The Best Day,3.4,Country,2000-01-29,2000-04-22,20,31.0,12.0,17th_week,43.0
5196,"Dixie Chicks, The",Without You,3.53333333333,Country,2000-10-07,2000-12-23,20,31.0,11.0,17th_week,37.0
5197,Musiq,Just Friends (Sunny),4.03333333333,Rap,2000-10-14,2000-12-30,20,31.0,11.0,17th_week,48.0
5198,"McEntire, Reba",What Do You Say,3.43333333333,Country,1999-10-30,2000-01-29,20,31.0,13.0,17th_week,50.0
5199,"Braxton, Toni",Just Be A Man About It,4.16666666667,Rock,2000-07-29,2000-09-02,20,32.0,5.0,17th_week,79.0
5200,"Iglesias, Enrique",Rhythm Divine,7.58333333333,Latin,1999-12-04,2000-01-22,17,32.0,7.0,17th_week,96.0
5201,"Fabian, Lara",I Will Love Again,3.71666666667,Pop,2000-06-10,2000-08-12,17,32.0,9.0,17th_week,96.0
5202,Bon Jovi,It's My Life,3.73333333333,Rock,2000-08-12,2000-09-30,20,33.0,7.0,17th_week,61.0
5203,"Evans, Sara",Born To Fly,5.6,Country,2000-10-21,2000-12-30,20,34.0,10.0,17th_week,58.0
5204,"Chesney, Kenny",I Lost It,3.9,Country,2000-10-21,2000-12-23,20,34.0,9.0,17th_week,82.0
5205,J-Shin,One Night Stand,4.56666666667,R&B,1999-12-25,2000-02-26,17,34.0,9.0,17th_week,99.0
5206,Eve,Love Is Blind,3.85,Rap,2000-01-08,2000-02-19,16,34.0,6.0,17th_week,
5207,Aaliyah,I Don't Wanna,4.25,Rock,2000-01-29,2000-03-04,20,35.0,5.0,17th_week,62.0
5208,"Montgomery, John Michael",The Little Girl,3.86666666667,Country,2000-09-09,2000-10-28,20,35.0,7.0,17th_week,62.0
5209,"Carter, Aaron",Aaron's Party (Come Get It),3.38333333333,R&B,2000-08-26,2000-09-16,15,35.0,3.0,17th_week,
5210,"Vassar, Phil",Just Another Day In Paradise,3.9,Country,2000-09-30,2000-12-02,20,35.0,9.0,17th_week,63.0
5211,Ice Cube,You Can Do It,4.33333333333,Rap,1999-12-04,2000-01-15,12,35.0,6.0,17th_week,
5212,"Wills, Mark",Back At One,4.0,Country,2000-01-15,2000-02-26,18,36.0,6.0,17th_week,94.0
5213,Lucy Pearl,Dance Tonight,3.75,R&B,2000-05-20,2000-07-29,19,36.0,10.0,17th_week,84.0
5214,"Jackson, Alan",It Must Be Love,2.88333333333,Country,2000-06-24,2000-09-02,20,37.0,10.0,17th_week,75.0
5215,"Griggs, Andy",She's More,3.31666666667,Country,2000-03-11,2000-06-10,20,37.0,13.0,17th_week,69.0
5216,No Doubt,Simple Kind Of Life,4.18333333333,Rock,2000-07-01,2000-07-22,13,38.0,3.0,17th_week,
5217,"Jean, Wyclef",911,4.0,Rap,2000-10-07,2000-11-25,19,38.0,7.0,17th_week,80.0
5218,Rascal Flatts,Prayin' For Daylight,3.6,Country,2000-05-06,2000-08-12,20,38.0,14.0,17th_week,47.0
5219,Vitamin C,Graduation (Friends Forever),4.38333333333,Rock,2000-04-15,2000-06-10,12,38.0,8.0,17th_week,
5220,"Gilman, Billy",One Voice,4.11666666667,Country,2000-06-17,2000-09-02,19,38.0,11.0,17th_week,85.0
5221,Lonestar,Smile,3.55,Country,1999-12-18,2000-02-12,20,39.0,8.0,17th_week,67.0
5222,"Rogers, Kenny",Buy Me A Rose,3.76666666667,Country,2000-03-11,2000-05-06,20,40.0,8.0,17th_week,86.0
5223,"Lawrence, Tracy",Lessons Learned,2.91666666667,Country,2000-01-29,2000-04-08,20,40.0,10.0,17th_week,94.0
5224,"Strait, George",Go On,3.8,Country,2000-08-26,2000-10-28,20,40.0,9.0,17th_week,78.0
5225,Sisqo,Got To Get It,3.86666666667,Rock,1999-11-20,2000-01-22,20,40.0,9.0,17th_week,68.0
5226,Baha Men,Who Let The Dogs Out,3.28333333333,R&B,2000-07-22,2000-10-21,20,40.0,13.0,17th_week,51.0
5227,"Walker, Clay",The Chain Of Love,5.05,Country,2000-04-15,2000-06-10,20,40.0,8.0,17th_week,90.0
5228,"McBride, Martina",Love's The Only House,5.21666666667,Country,2000-02-05,2000-04-15,20,42.0,10.0,17th_week,91.0
5229,Amber,Sexual (Li Da Di),4.63333333333,Rock,1999-07-17,2000-02-12,29,42.0,30.0,17th_week,98.0
5230,"Tippin, Aaron",Kiss This,2.88333333333,Country,2000-08-26,2000-10-21,20,42.0,8.0,17th_week,87.0
5231,SheDaisy,I Will.. But,3.66666666667,Country,2000-07-15,2000-09-16,20,43.0,9.0,17th_week,86.0
5232,"Raye, Collin",Couldn't Last A Moment,3.66666666667,Country,2000-03-18,2000-06-24,20,43.0,14.0,17th_week,53.0
5233,Black Rob,Whoa!,4.06666666667,Rap,2000-03-04,2000-04-15,17,43.0,6.0,17th_week,97.0
5234,"Jackson, Alan",Pop A Top,3.06666666667,Country,1999-11-13,2000-01-22,17,43.0,10.0,17th_week,
5235,"Black, Clint",Been There,5.46666666667,Country,2000-02-19,2000-04-15,20,44.0,8.0,17th_week,85.0
5236,Common,The Light,3.91666666667,Rap,2000-08-05,2000-09-09,19,44.0,5.0,17th_week,93.0
5237,"Vassar, Phil",Carlene,4.11666666667,Country,2000-03-04,2000-04-22,19,45.0,7.0,17th_week,91.0
5238,"Jackson, Alan",www.memory,2.6,Country,2000-11-04,2000-12-23,15,45.0,7.0,17th_week,
5239,Vitamin C,The Itch,3.5,Rock,2000-12-02,2000-12-16,9,45.0,2.0,17th_week,
5240,"Eastsidaz, The",G'D Up,4.45,Rap,2000-01-08,2000-02-12,14,47.0,5.0,17th_week,
5241,Ideal,Whatever,3.8,R&B,2000-06-10,2000-08-19,18,47.0,10.0,17th_week,92.0
5242,"Thomas, Carl",Emotional,4.51666666667,Rock,2000-11-25,2000-12-30,20,47.0,5.0,17th_week,87.0
5243,Ginuwine,None Of Ur Friends Business,4.2,Rock,1999-12-11,2000-01-22,15,48.0,6.0,17th_week,
5244,"Davidson, Clay",Unconditional,3.93333333333,Country,2000-03-25,2000-06-17,20,49.0,12.0,17th_week,51.0
5245,DMX,What You Want,4.08333333333,Rap,2000-07-01,2000-09-23,20,49.0,12.0,17th_week,87.0
5246,"John, Elton",Someday Out Of The Blue,4.68333333333,Rock,2000-04-22,2000-05-06,15,49.0,2.0,17th_week,
5247,Pearl Jam,Nothing As It Seems,5.33333333333,Rock,2000-05-13,2000-05-13,6,49.0,0.0,17th_week,
5248,Mya,The Best Of Me,4.2,Rock,2000-04-15,2000-05-20,17,50.0,5.0,17th_week,97.0
5249,"Heatherly, Eric",Flowers On The Wall,3.26666666667,Country,2000-04-29,2000-08-12,20,50.0,15.0,17th_week,57.0
5250,Eminem,Stan,5.43333333333,Rap,2000-11-04,2000-12-02,15,51.0,4.0,17th_week,
5251,"McEntire, Reba",I'll Be,4.38333333333,Country,2000-05-13,2000-07-29,20,51.0,11.0,17th_week,93.0
5252,"Lopez, Jennifer",Feelin' Good,4.46666666667,Latin,2000-02-19,2000-04-08,17,51.0,7.0,17th_week,79.0
5253,"Urban, Keith",Your Everything,4.16666666667,Country,2000-07-15,2000-09-16,16,51.0,9.0,17th_week,
5254,TLC,Dear Lie,4.6,Rock,2000-02-12,2000-03-04,7,51.0,3.0,17th_week,
5255,"Gill, Vince",Feels Like Love,4.21666666667,Country,2000-09-02,2000-11-18,20,52.0,11.0,17th_week,91.0
5256,"Houston, Whitney",Could I Have This Kiss Forever,3.9,Rock,2000-06-17,2000-08-05,19,52.0,7.0,17th_week,98.0
5257,Bloodhound Gang,The Bad Touch,4.33333333333,R&B,2000-03-18,2000-04-15,12,52.0,4.0,17th_week,
5258,"Williams, Robbie",Angels,3.93333333333,Rock,1999-11-20,2000-01-22,19,53.0,9.0,17th_week,91.0
5259,"Messina, Jo Dee",Because You Love Me,3.83333333333,Country,2000-01-29,2000-03-11,13,53.0,6.0,17th_week,
5260,"Keith, Toby",Country Comes To Town,3.65,Country,2000-08-05,2000-10-14,15,54.0,10.0,17th_week,
5261,Beenie Man,Girls Dem Sugar,4.28333333333,Reggae,2000-10-21,2000-12-02,15,54.0,6.0,17th_week,
5262,"Hill, Faith",Let's Make Love,4.18333333333,Rap,2000-08-12,2000-10-21,14,54.0,10.0,17th_week,
5263,Kelis,Caught Out There,4.15,R&B,1999-12-04,2000-01-08,12,54.0,5.0,17th_week,
5264,Jay-Z,Anything,3.68333333333,Rap,2000-02-26,2000-03-11,8,55.0,2.0,17th_week,
5265,3 Doors Down,Loser,4.4,Rock,2000-10-21,2000-12-02,20,55.0,6.0,17th_week,75.0
5266,Brooks & Dunn,You'll Always Be Loved By Me,2.96666666667,Country,2000-06-10,2000-09-09,19,55.0,13.0,17th_week,86.0
5267,"Chesney, Kenny",What I Need To Do,4.08333333333,Country,2000-04-01,2000-06-10,17,56.0,10.0,17th_week,95.0
5268,"Stone, Angie",No More Rain (In This Cloud),4.7,R&B,1999-12-25,2000-01-22,17,56.0,4.0,17th_week,100.0
5269,Da Brat,That's What I'm Looking For,3.73333333333,Rap,2000-02-26,2000-04-15,18,56.0,7.0,17th_week,94.0
5270,SheDaisy,This Woman Needs,3.33333333333,Country,2000-02-05,2000-03-04,9,57.0,4.0,17th_week,
5271,Papa Roach,Last Resort,3.31666666667,Rock,2000-07-29,2000-12-02,20,57.0,18.0,17th_week,64.0
5272,"Adams, Yolanda",Open My Heart,5.5,Gospel,2000-08-26,2000-10-21,20,57.0,8.0,17th_week,67.0
5273,Shyne,Bad Boyz,4.36666666667,Rap,2000-09-09,2000-10-28,15,57.0,7.0,17th_week,
5274,R.E.M.,The Great Beyond,4.16666666667,Rock,1999-12-25,2000-01-29,14,57.0,5.0,17th_week,
5275,"Diffie, Joe",It's Always Somethin',2.91666666667,Country,2000-08-12,2000-09-16,14,57.0,5.0,17th_week,
5276,"McGraw, Tim",Some Things Never Change,3.93333333333,Country,2000-05-13,2000-07-01,14,58.0,7.0,17th_week,
5277,"Henley, Don",Taking You Home,4.13333333333,Rock,2000-06-24,2000-08-05,20,58.0,6.0,17th_week,83.0
5278,Eminem,The Way I Am,4.66666666667,Rap,2000-08-26,2000-09-30,10,58.0,5.0,17th_week,
5279,Nas,You Owe Me,3.85,R&B,2000-03-25,2000-04-15,16,59.0,3.0,17th_week,
5280,Sister Hazel,Change Your Mind,4.03333333333,Rock,2000-07-15,2000-08-05,20,59.0,3.0,17th_week,100.0
5281,Puff Daddy,Best Friend,5.55,Rap,2000-02-12,2000-02-19,5,59.0,1.0,17th_week,
5282,"McBride, Martina",There You Are,3.43333333333,Country,2000-09-09,2000-10-21,13,60.0,6.0,17th_week,
5283,Usher,Pop Ya Collar,3.6,Rock,2000-11-04,2000-11-18,7,60.0,2.0,17th_week,
5284,Lil' Kim,No Matter What They Say,4.2,Rap,2000-07-15,2000-08-05,10,60.0,3.0,17th_week,
5285,LFO,I Don't Wanna Kiss You Goodnight,5.0,Rock,2000-04-15,2000-04-22,5,61.0,1.0,17th_week,
5286,SheDaisy,Deck The Halls,3.76666666667,Country,1999-12-25,2000-01-01,2,61.0,1.0,17th_week,
5287,Splender,I Think God Can Explain,3.91666666667,R&B,2000-06-10,2000-06-24,12,62.0,2.0,17th_week,
5288,"Simpson, Jessica",Where You Are,3.85,Rock,2000-04-01,2000-04-15,6,62.0,2.0,17th_week,
5289,M2M,Mirror Mirror,3.31666666667,Pop,2000-04-01,2000-05-27,18,62.0,8.0,17th_week,90.0
5290,Kumbia Kings,U Don't Love Me,3.83333333333,R&B,2000-03-04,2000-03-18,10,62.0,2.0,17th_week,
5291,Joe,Treat Her Like A Lady,4.2,Rock,2000-08-05,2000-08-19,17,63.0,2.0,17th_week,100.0
5292,"Blige, Mary J.",Deep Inside,5.43333333333,Rock,1999-11-13,2000-01-22,15,63.0,10.0,17th_week,
5293,"Price, Kelly",You Should've Told Me,3.2,Rock,2000-09-23,2000-12-02,20,64.0,10.0,17th_week,86.0
5294,Changing Faces,That Other Woman,4.0,Rock,2000-09-30,2000-10-28,11,64.0,4.0,17th_week,
5295,"Wright, Chely",It Was,3.85,R&B,2000-03-04,2000-04-15,10,64.0,6.0,17th_week,
5296,Limp Bizkit,Rollin',4.06666666667,Rock,2000-11-11,2000-12-09,17,65.0,4.0,17th_week,100.0
5297,Hot Boys,I Need A Hot Girl,4.26666666667,Rap,2000-02-19,2000-03-11,13,65.0,3.0,17th_week,
5298,Jay-Z,Do It Again (Put Ya Hands Up),3.78333333333,Rap,2000-01-15,2000-01-29,9,65.0,2.0,17th_week,
5299,"Adkins, Trace",More,3.08333333333,Country,2000-04-29,2000-06-17,11,65.0,7.0,17th_week,
5300,"Dixie Chicks, The",Cold Day In July,5.2,Country,2000-06-24,2000-08-05,10,65.0,6.0,17th_week,
5301,"Price, Kelly",As We Lay,6.33333333333,Rock,2000-07-15,2000-08-05,8,64.0,3.0,17th_week,
5302,DMX,What's My Name,3.83333333333,Rap,2000-01-15,2000-02-12,11,67.0,4.0,17th_week,
5303,"Martin, Ricky",Private Emotion,4.03333333333,Latin,2000-03-11,2000-03-18,5,67.0,1.0,17th_week,
5304,Nine Days,If I Am,4.3,Rock,2000-12-02,2000-12-02,5,68.0,0.0,17th_week,
5305,"Blige, Mary J.",Give Me You,5.0,Rock,2000-04-15,2000-05-13,9,68.0,4.0,17th_week,
5306,Red Hot Chili Peppers,Californication,5.35,Rock,2000-07-29,2000-10-14,19,69.0,11.0,17th_week,78.0
5307,Third Eye Blind,Deep Inside Of You,4.16666666667,Rock,2000-09-02,2000-10-07,12,69.0,5.0,17th_week,
5308,"Brooks, Garth",Do What You Gotta Do,2.93333333333,Country,2000-02-19,2000-03-18,6,69.0,4.0,17th_week,
5309,"Offspring, The",Original Prankster,3.7,Rock,2000-11-25,2000-12-09,9,70.0,2.0,17th_week,
5310,"Anthony, Marc",My Baby You,3.98333333333,Latin,2000-09-16,2000-10-07,20,70.0,3.0,17th_week,94.0
5311,"Houston, Whitney","Same Script, Different Cast",4.75,Rock,2000-06-17,2000-07-15,9,70.0,4.0,17th_week,
5312,D'Angelo,Left & Right,4.58333333333,R&B,1999-12-11,2000-01-01,5,70.0,3.0,17th_week,
5313,"Kravitz, Lenny",I Belong To You,4.28333333333,Rock,2000-03-25,2000-04-08,9,71.0,2.0,17th_week,
5314,"Loveless, Patty",That's The Kind Of Mood I'm In,3.45,Country,2000-09-16,2000-11-18,14,71.0,9.0,17th_week,
5315,Q-Tip,Breathe And Stop,4.1,Rock,2000-01-22,2000-01-22,5,71.0,0.0,17th_week,
5316,"Rimes, LeAnn",Can't Fight The Moonlight,3.55,Country,2000-09-09,2000-09-16,20,71.0,1.0,17th_week,86.0
5317,Lil Wayne,Tha Block Is Hot,4.21666666667,Rap,1999-12-04,2000-01-08,11,72.0,5.0,17th_week,
5318,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4.36666666667,Rap,2000-02-26,2000-03-11,7,72.0,2.0,17th_week,
5319,"Wallflowers, The",Sleepwalker,3.48333333333,Rock,2000-10-28,2000-10-28,6,73.0,0.0,17th_week,
5320,Drama,"Left, Right, Left",3.61666666667,Rap,2000-02-12,2000-03-18,13,73.0,5.0,17th_week,
5321,Limp Bizkit,N 2 Gether Now,3.91666666667,Rock,1999-12-04,2000-01-08,11,73.0,5.0,17th_week,
5322,Lox,"Ryde or Die, Chick",3.93333333333,Rap,2000-03-18,2000-03-25,7,73.0,1.0,17th_week,
5323,Ying Yang Twins,Whistle While You Twurk,4.31666666667,Rap,2000-03-18,2000-04-29,14,74.0,6.0,17th_week,
5324,"Walker, Clay","Live, Laugh, Love",4.1,Country,1999-12-04,2000-01-22,11,74.0,7.0,17th_week,
5325,Metallica,No Leaf Clover (Live),5.71666666667,Rock,2000-02-12,2000-03-11,10,74.0,4.0,17th_week,
5326,Yankee Grey,Another Nine Minutes,3.16666666667,Country,2000-04-29,2000-05-20,8,74.0,3.0,17th_week,
5327,"Bega, Lou",Tricky Tricky ,3.38333333333,Rock,2000-01-29,2000-02-05,3,74.0,1.0,17th_week,
5328,Big Punisher,It's So Hard,3.41666666667,Rap,2000-04-22,2000-05-06,15,75.0,2.0,17th_week,
5329,"Worley, Darryl",When You Need My Love,3.58333333333,Country,2000-06-17,2000-09-02,15,75.0,11.0,17th_week,
5330,Lil' Kim,How Many Licks?,3.83333333333,Rap,2000-11-25,2000-12-02,9,75.0,1.0,17th_week,
5331,"Clark, Terri",A Little Gasoline,3.11666666667,Country,2000-12-16,2000-12-16,6,75.0,0.0,17th_week,
5332,"Brock, Chad",A Country Boy Can Survive,3.9,Country,2000-01-01,2000-01-08,3,75.0,1.0,17th_week,
5333,"Cagle, Chris",My Love Goes On And On,3.03333333333,Country,2000-10-21,2000-12-02,11,76.0,6.0,17th_week,
5334,"Byrd, Tracy",Put Your Hand In Mine,4.5,Country,2000-01-29,2000-02-12,8,76.0,2.0,17th_week,
5335,Metallica,I Disappear,4.43333333333,Rock,2000-05-13,2000-06-17,20,76.0,5.0,17th_week,98.0
5336,Jay-Z,Hey Papi,3.66666666667,Rap,2000-08-12,2000-10-07,15,76.0,8.0,17th_week,
5337,Fatboy Slim,The Rockafeller Skank,4.0,Electronica,1999-11-13,2000-01-22,12,76.0,10.0,17th_week,
5338,"Levert, Gerald",Mr. Too Damn Good,4.1,R&B,2000-03-18,2000-04-08,8,76.0,3.0,17th_week,
5339,"McKnight, Brian",Stay Or Let It Go,4.53333333333,Rock,2000-02-26,2000-03-25,8,76.0,4.0,17th_week,
5340,"Allan, Gary",Smoke Rings In The Dark,4.3,Country,2000-01-22,2000-02-05,5,76.0,2.0,17th_week,
5341,Ginuwine,The Best Man I Can Be,4.1,Rock,2000-01-08,2000-03-04,12,77.0,8.0,17th_week,
5342,Before Dark,Monica,4.06666666667,Rock,2000-05-20,2000-06-17,9,77.0,4.0,17th_week,
5343,"Estefan, Gloria",No Me Dejes De Querer,3.41666666667,Rock,2000-06-10,2000-06-10,1,77.0,0.0,17th_week,
5344,Stone Temple Pilots,Sour Girl,4.26666666667,Rock,2000-07-08,2000-07-29,13,78.0,3.0,17th_week,
5345,Montgomery Gentry,Daddy Won't Sell The Farm,4.3,Country,2000-03-04,2000-03-25,6,79.0,3.0,17th_week,
5346,"Cyrus, Billy Ray",You Won't Be Lonely Now,3.75,Country,2000-09-23,2000-11-11,13,80.0,7.0,17th_week,
5347,Clark Family Experience,Meanwhile Back At The Ranch,2.93333333333,Country,2000-11-18,2000-12-16,12,80.0,4.0,17th_week,
5348,"Thomas, Carl",Summer Rain,4.95,Rock,2000-09-23,2000-10-14,11,80.0,3.0,17th_week,
5349,"Yearwood, Trisha",Real Live Woman,3.91666666667,Country,2000-04-01,2000-04-29,6,81.0,4.0,17th_week,
5350,Trick Daddy,Shut Up,4.28333333333,Rap,2000-05-20,2000-06-17,11,83.0,4.0,17th_week,
5351,"Moore, Chante",Straight Up,3.66666666667,Rock,2000-10-28,2000-12-02,9,83.0,5.0,17th_week,
5352,Cam'ron,What Means The World To You,4.63333333333,Rap,2000-10-14,2000-11-18,10,83.0,5.0,17th_week,
5353,Juvenile,U Understand,3.85,Rap,2000-02-05,2000-02-12,6,83.0,1.0,17th_week,
5354,"Hollister, Dave",Can't Stay,6.28333333333,Rock,2000-03-25,2000-03-25,4,84.0,0.0,17th_week,
5355,Tamia,Can't Go For That,3.63333333333,Rock,2000-09-16,2000-09-30,5,84.0,2.0,17th_week,
5356,LFO,West Side Story,3.45,Rock,2000-08-05,2000-08-12,4,84.0,1.0,17th_week,
5357,"Paisley, Brad",Me Neither,3.31666666667,Country,2000-05-13,2000-05-20,4,85.0,1.0,17th_week,
5358,"Carter, Torrey",Take That,3.71666666667,Rock,2000-06-24,2000-07-08,7,86.0,2.0,17th_week,
5359,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3.25,R&B,2000-09-02,2000-09-09,3,87.0,1.0,17th_week,
5360,Madison Avenue,Don't Call Me Baby,3.73333333333,Electronica,2000-07-08,2000-09-16,20,88.0,10.0,17th_week,93.0
5361,Eve,Got It All,3.8,Rap,2000-07-15,2000-07-22,5,88.0,1.0,17th_week,
5362,Limp Bizkit,Re-Arranged,4.13333333333,Rock,1999-12-04,2000-02-05,18,88.0,9.0,17th_week,93.0
5363,"Spencer, Tracie",Still In My Heart,4.18333333333,Rock,2000-03-04,2000-03-11,3,88.0,1.0,17th_week,
5364,Nu Flavor,3 Little Words,3.9,R&B,2000-06-03,2000-06-17,9,89.0,2.0,17th_week,
5365,Tamar,If You Don't Wanna Love Me,4.03333333333,Rock,2000-03-25,2000-04-15,6,89.0,3.0,17th_week,
5366,"Levert, Gerald",Baby U Are,4.16666666667,R&B,2000-08-19,2000-08-26,5,89.0,1.0,17th_week,
5367,"Hart, Beth",L.A. Song,3.78333333333,Country,1999-11-27,2000-01-15,12,90.0,7.0,17th_week,
5368,"Diffie, Joe",The Quittin' Kind,3.38333333333,Country,2000-01-01,2000-01-22,6,90.0,3.0,17th_week,
5369,Funkmaster Flex,Do You,4.23333333333,Rap,2000-11-11,2000-12-02,7,91.0,3.0,17th_week,
5370,"Price, Kelly",Love Sets You Free,3.76666666667,Rock,2000-05-13,2000-05-20,4,91.0,1.0,17th_week,
5371,En Vogue,Riddle,5.16666666667,Rock,2000-06-17,2000-06-17,4,92.0,0.0,17th_week,
5372,"Herndon, Ty",No Mercy,4.71666666667,Country,2000-03-18,2000-05-06,8,92.0,7.0,17th_week,
5373,Anastacia,I'm Outta Love,4.01666666667,Pop,2000-04-01,2000-04-01,3,92.0,0.0,17th_week,
5374,Trina,Pull Over,2.96666666667,Rap,2000-09-09,2000-09-16,4,93.0,1.0,17th_week,
5375,Lil' Mo,Ta Da,4.28333333333,Rap,2000-08-12,2000-09-16,7,95.0,5.0,17th_week,
5376,A*Teens,Dancing Queen,3.73333333333,Pop,2000-07-08,2000-07-29,5,95.0,3.0,17th_week,
5377,"Sheist, Shade",Where I Wanna Be,4.26666666667,Rap,2000-11-11,2000-11-18,5,95.0,1.0,17th_week,
5378,De La Soul,All Good?,5.03333333333,Rap,2000-12-23,2000-12-23,3,96.0,0.0,17th_week,
5379,"Larrieux, Amel",Get Up,4.03333333333,R&B,2000-03-04,2000-03-11,3,97.0,1.0,17th_week,
5380,"Braxton, Toni",Spanish Guitar,4.4,Rock,2000-12-02,2000-12-02,3,98.0,0.0,17th_week,
5381,Tuesday,I Know,4.1,Rock,2000-12-30,2000-12-30,2,98.0,0.0,17th_week,
5382,LL Cool J,Imagine That,4.0,Rap,2000-08-12,2000-08-19,2,98.0,1.0,17th_week,
5383,Master P,Souljas,3.55,Rap,2000-11-18,2000-11-18,1,98.0,0.0,17th_week,
5384,Ghostface Killah,Cherchez LaGhost,3.06666666667,R&B,2000-08-05,2000-08-05,1,98.0,0.0,17th_week,
5385,"Smith, Will",Freakin' It,3.96666666667,Rap,2000-02-12,2000-02-12,4,99.0,0.0,17th_week,
5386,Zombie Nation,Kernkraft 400,3.5,Rock,2000-09-02,2000-09-02,2,99.0,0.0,17th_week,
5387,"Eastsidaz, The",Got Beef,3.96666666667,Rap,2000-07-01,2000-07-01,2,99.0,0.0,17th_week,
5388,Fragma,Toca's Miracle,3.36666666667,R&B,2000-10-28,2000-10-28,1,99.0,0.0,17th_week,
5389,Destiny's Child,Independent Women Part I,3.63333333333,Rock,2000-09-23,2000-11-18,28,1.0,8.0,18th_week,1.0
5390,Santana,"Maria, Maria",4.3,Rock,2000-02-12,2000-04-08,26,1.0,8.0,18th_week,1.0
5391,Savage Garden,I Knew I Loved You,4.11666666667,Rock,1999-10-23,2000-01-29,33,1.0,14.0,18th_week,2.0
5392,Madonna,Music,3.75,Rock,2000-08-12,2000-09-16,24,1.0,5.0,18th_week,16.0
5393,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3.63333333333,Rock,2000-08-05,2000-10-14,21,1.0,10.0,18th_week,22.0
5394,Janet,Doesn't Really Matter,4.28333333333,Rock,2000-06-17,2000-08-26,24,1.0,10.0,18th_week,7.0
5395,Destiny's Child,Say My Name,4.51666666667,Rock,1999-12-25,2000-03-18,32,1.0,12.0,18th_week,3.0
5396,"Iglesias, Enrique",Be With You,3.6,Latin,2000-04-01,2000-06-24,20,1.0,12.0,18th_week,14.0
5397,Sisqo,Incomplete,3.86666666667,Rock,2000-06-24,2000-08-12,26,1.0,7.0,18th_week,10.0
5398,Lonestar,Amazed,4.41666666667,Country,1999-06-05,2000-03-04,55,1.0,39.0,18th_week,40.0
5399,N'Sync,It's Gonna Be Me,3.16666666667,Rock,2000-05-06,2000-07-29,25,1.0,12.0,18th_week,10.0
5400,"Aguilera, Christina",What A Girl Wants,3.3,Rock,1999-11-27,2000-01-15,24,1.0,7.0,18th_week,15.0
5401,Vertical Horizon,Everything You Want,4.01666666667,Rock,2000-01-22,2000-07-15,41,1.0,25.0,18th_week,6.0
5402,Creed,With Arms Wide Open,3.86666666667,Rock,2000-05-13,2000-11-11,47,1.0,26.0,18th_week,29.0
5403,Aaliyah,Try Again,4.05,Rock,2000-03-18,2000-06-17,32,1.0,13.0,18th_week,2.0
